word,definition
poem,"Specie a poeziei epice, de intindere relativ mare, cu caracter eroic, filozofic, istoric, mitologic, legendar."
poet,"Persoana care creeaza poezii, autor de poezii."
pont,Aluzie rautacioasa.
porc,"Mamifer domestic omnivor, cu capul de forma conica, cu botul alungit, cu corpul acoperit cu par aspru, scurt si relativ rar, crescut pentru carnea si grasimea lui."
port,"Complex tehnic amenajat pe malul unei ape navigabile, prevazut cu instalatiile necesare pentru acostarea, adapostirea si reparatia navelor, pentru transportul de marfuri si de calatori."
post,"Functie, slujba."
poza,Fotografie.
prada,"Persoana prinsa, rapita, ajunsa in puterea cuiva."
praf,"Material format din particule solide foarte fine, provenite din faramitarea naturala a scoartei terestre, a unor corpuri solide, din unele procese biologice ale vietuitoarelor."
prag,"Partea de jos, orizontala, a unui toc de usa sau a unei porti, putin mai ridicata de la pamant, peste care se trece la intrare si iesire."
praz,"Planta erbacee legumicola din familia liliaceelor, inrudita cu ceapa, cu tulpina cilindrica, groasa si inalta, cu frunzele lanceolate si cu bulb carnos"
pres,Covor lung si ingust care se asterne pe jos in incaperile sau pe scarile unei cladiri.
pret,Categorie economica reprezentand expresia baneasca a valorii unei marfi.
puls,"Miscare fiziologica ritmica de dilatare si de contractare a peretilor arterelor, determinata de cresterea volumului de sange pompat de inima."
pumn,"Palma inchisa, cu degetele indoite si stranse."
pruna,"Fructul prunului, drupa de forma alungita, de culoare vanata sau galbuie, cu sambure mare."
punga,"Saculet de piele, mai rar de panza, de material plastic etc., cu una sau cu mai multe despartituri, in care se tin banii si alte obiecte mici."
punte,"Pod ingust (format adesea dintr-o scandura sau dintr-o barna) asezat peste un sant, peste o rapa sau peste o apa, care poate fi trecut numai cu piciorul."
pura,Care nu contine elemente straine; fara impuritati.
rabd,"A suporta (fara impotrivire si cu resemnare) greutati, neplaceri fizice sau morale."
raft,"Polita fixata intr-un dulap, la o etajera, de-a lungul peretilor unei camere."
rama,"Cadru de lemn, de metal etc. in care se pune o fotografie, un tablou."
rata,"A scapa, a pierde o ocazie."
raza,Linie dreapta dupa care se propaga lumina; traiectorie luminoasa.
rege,Suveranul unui regat.
real,"Care are o existenta obiectiva, independenta de constiinta sau de vointa, care exista in realitate."
rece,"Care are o temperatura (mai) scazuta fata de o limita data, fata de un mediu oarecare sau fata de caldura corpului omenesc; lipsit de caldura."
rest,"Ceea ce ramane dintr-un tot, dintr-un ansamblu dupa ce s-a luat cea mai mare parte."
rima,A avea aceleasi sunete in silabele finale.
