word,definition
vanat,Actiunea de a vana.
vapor,Nava pusa in miscare de un motor propriu.
varza,"Planta legumicola bienala din familia cruciferelor, cu frunze mari, groase si ondulate, care se invelesc unele pe altele formand o capatana compacta, folosita in alimentatie."
verde,"Care are culoarea frunzelor, a ierbii sau, in general, a vegetatiei proaspete de vara."
vesta,"Obiect de imbracaminte scurt, fara maneci si fara guler, purtat de barbati sub haina si de femei peste bluza."
vidra,"Mamifer carnivor cu corpul acoperit cu blana deasa, castanie-roscata, cu degetele picioarelor unite printr-o pielita."
virus,"Agent patogen, invizibil cu microscopul obisnuit, care se reproduce numai in interiorul celulelor vii si provoaca diverse boli infectioase."
vodca,"Bautura foarte tare, facuta din alcool de cereale si din apa cu duritate scazuta."
volan,"Piesa de forma circulara care serveste la efectuarea manuala a unor comenzi pe masini-unelte, autovehicule."
volum,Spatiu pe care il ocupa un corp.
vreme,Dimensiune universala dupa care se ordoneaza succesiunea ireversibila a fenomenelor.
vulpe,"Mamifer carnivor salbatic, de marimea unui caine, cu blana roscata, cu coada lunga si stufoasa, cu urechile ascutite si cu botul ingust."
xenon,"Element chimic din grupul gazelor nobile, incolor si inodor, care se gaseste in atmosfera in cantitati foarte mici."
xerox,"Aparat de reprodus si de multiplicat, bazat pe xerografie."
yucca,Planta din familia liliacee aclimatizata in zonele temperate unde se cultiva ca planta ornamentala.
zadar,Lucru inutil.
zbura,A plana si a se misca in aer cu ajutorul aripilor.
zeama,"Fiertura de carne sau de legume, constituind un fel de mancare; partea lichida a bucatelor, apa in care fierb."
zebra,"Nume generic dat speciilor de cai salbatici africani cu blana vargata cu benzi alternative, deschise si inchise."
zeita,Divinitate pagana feminina.
zgura,"Partea minerala fuzibila din cenuaa carbunilor, care se aglomereaza in procesul de solidificare."
zidar,"Muncitor specializat in executarea lucrarilor de constructie din zidarie, precum si de finisare a betonului dupa turnare."
zmeur,"Arbust din familia rozaceelor, cu ramuri ghimpoase, flexibile, cu frunze albe pe partea inferioara, cu flori albe, cu fructe rosii, aromate, comestibile."
zodie,Fiecare dintre cele douasprezece constelatii ale zodiacului.
